id;type;loc_num;adresse;cp;commune;code_insee;longueur;largeur;lim_vitesse;sens;h_debut;h_fin;tonnage;geo_shape;geo_point_2d
92046028;LIVRAISON;DROIT;8 VILLA LEGER;92240;MALAKOFF;92046;8.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2954505498042415, 48.8132623734795], ""type"": ""Point""}";48.8132623734795,2.2954505498042415
92046033;LIVRAISON;DROIT;15 RUE DU COLONEL FABIEN;92240;MALAKOFF;92046;7.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2789806787238196, 48.81356272497763], ""type"": ""Point""}";48.81356272497763,2.2789806787238196
92048016;LIVRAISON;DROIT;2 RUE DU DOCTEUR ARNAUDET;92190;MEUDON;92048;6.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.247331168963382, 48.81571713769869], ""type"": ""Point""}";48.81571713769869,2.247331168963382
92048017;LIVRAISON;DROIT;53 RUE DE LA ROSERAIRE;92190;MEUDON;92048;5.5;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.223911935660041, 48.7895544271742], ""type"": ""Point""}";48.7895544271742,2.223911935660041
92048018;LIVRAISON;FACE;85 RUE HENRI BARBUSSE;92190;MEUDON;92048;7.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2426541841356444, 48.808053968635164], ""type"": ""Point""}";48.808053968635164,2.2426541841356444
92051052;LIVRAISON;DROIT;162 RUE PERRONET;92200;NEUILLY SUR SEINE;92051;10.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.264389357888391, 48.891284650211546], ""type"": ""Point""}";48.891284650211546,2.264389357888391
92051073;LIVRAISON;DROIT;124 AVENUE ACHILLE PERETTI;92200;NEUILLY SUR SEINE;92051;0.0;0.0;50;DOUBLE;07:00;15:00;0.0;"{""coordinates"": [2.265216655695206, 48.885448380378286], ""type"": ""Point""}";48.885448380378286,2.265216655695206
92051075;LIVRAISON;FACE;40 RUE DE DE SABLONVILLE;92200;NEUILLY SUR SEINE;92051;0.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.278438030868852, 48.88045517008297], ""type"": ""Point""}";48.88045517008297,2.278438030868852
92051083;LIVRAISON;DROIT;10 RUE JACQUES DULUD;92200;NEUILLY SUR SEINE;92051;19.5;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.272287376906954, 48.88023151438888], ""type"": ""Point""}";48.88023151438888,2.272287376906954
92051087;LIVRAISON;DROIT;32 RUE PIERRET;92200;NEUILLY SUR SEINE;92051;5.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.260734236758873, 48.88254335061506], ""type"": ""Point""}";48.88254335061506,2.260734236758873
92051088;LIVRAISON;DROIT;48 RUE DES POISSONNIERS;92200;NEUILLY SUR SEINE;92051;19.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.261725608848717, 48.88598839317279], ""type"": ""Point""}";48.88598839317279,2.261725608848717
92051092;LIVRAISON;DROIT;173 AVENUE CHARLES DE GAULLE;92200;NEUILLY SUR SEINE;92051;10.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.2628497586173038, 48.88365488349893], ""type"": ""Point""}";48.88365488349893,2.2628497586173038
92051102;LIVRAISON;DROIT;60 AVENUE CHARLES DE GAULLE;92200;NEUILLY SUR SEINE;92051;15.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.272571868141248, 48.88125178629386], ""type"": ""Point""}";48.88125178629386,2.272571868141248
92051105;LIVRAISON;DROIT;12 BOULEVARD GEORGES SEURAT;92200;NEUILLY SUR SEINE;92051;0.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.2679711871782975, 48.89458486462455], ""type"": ""Point""}";48.89458486462455,2.2679711871782975
92051112;LIVRAISON;DROIT;11 RUE DU COMMANDANT PILOT;92200;NEUILLY SUR SEINE;92051;9.5;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.277784914258361, 48.88132204475184], ""type"": ""Point""}";48.88132204475184,2.277784914258361
92051115;LIVRAISON;DROIT;5 BOULEVARD PAUL EMILE VICTOR;92200;NEUILLY SUR SEINE;92051;19.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.2650680337019122, 48.894844449150085], ""type"": ""Point""}";48.894844449150085,2.2650680337019122
92051117;LIVRAISON;DROIT;6 RUE PARMENTIER;92200;NEUILLY SUR SEINE;92051;0.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.280832782842147, 48.88273223167177], ""type"": ""Point""}";48.88273223167177,2.280832782842147
92051122;LIVRAISON;DROIT;PLACE DE BAGATELLE;92200;NEUILLY SUR SEINE;92051;5.8000001899999996;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.251994689733542, 48.876272790626686], ""type"": ""Point""}";48.876272790626686,2.251994689733542
92051135;LIVRAISON;DROIT;8 RUE DELABORDERE;92200;NEUILLY SUR SEINE;92051;10.0;0.0;50;DOUBLE;07:00;15:00;0.0;"{""coordinates"": [2.2552122349947727, 48.880196211274686], ""type"": ""Point""}";48.880196211274686,2.2552122349947727
92064000;LIVRAISON;FACE;2 RUE DU BEARN;92210;SAINT CLOUD;92064;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.222044383943618, 48.84650650876032], ""type"": ""Point""}";48.84650650876032,2.222044383943618
92064001;LIVRAISON;DROIT;2 RUE DU CALVAIRE;92210;SAINT CLOUD;92064;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2188912694622283, 48.84629626429901], ""type"": ""Point""}";48.84629626429901,2.2188912694622283
92064005;LIVRAISON;DROIT;14 RUE BERNARD PALISSY;92210;SAINT CLOUD;92064;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2214498658082222, 48.85296505847301], ""type"": ""Point""}";48.85296505847301,2.2214498658082222
92064006;LIVRAISON;DROIT;19 RUE DU CALVAIRE;92210;SAINT CLOUD;92064;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2186118808189716, 48.84626868753866], ""type"": ""Point""}";48.84626868753866,2.2186118808189716
92073008;LIVRAISON;DROIT;108 BOULEVARD HENRI SELLIER;92150;SURESNES;92073;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2187134104847903, 48.86451868795785], ""type"": ""Point""}";48.86451868795785,2.2187134104847903
92073009;LIVRAISON;DROIT;106 BOULEVARD HENRI SELLIER;92150;SURESNES;92073;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2187827114799688, 48.864675705675154], ""type"": ""Point""}";48.864675705675154,2.2187827114799688
92073011;LIVRAISON;DROIT;57/59 RUE JEAN JACQUES ROUSSEAU;92150;SURESNES;92073;9.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.222262136026133, 48.86533089722728], ""type"": ""Point""}";48.86533089722728,2.222262136026133
92073012;LIVRAISON;DROIT;61 RUE JEAN JACQUES ROUSSEAU;92150;SURESNES;92073;9.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2224524822676277, 48.865424319697325], ""type"": ""Point""}";48.865424319697325,2.2224524822676277
